Vivado Simulator 2017.2
Time resolution is 1 ps
Block Memory Generator module tb_gtx3g_bert_axi_v1_0.axi_ad9286_ctrl_v0_1_inst_1.gtx3g_bert_axi_v1_0_S00_AXI_inst.async_dual_port_bram_inst_1.inst.native_mem_module.blk_mem_gen_v8_3_6_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_6 collision detected at time: 22058749, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 22218733, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 22378717, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 22538701, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 22698685, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 22858669, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23018653, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23178637, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23338621, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23498605, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23658589, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23818573, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 23978557, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 24138541, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 24298525, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 24458509, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 24618493, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 24778477, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 24938461, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25098445, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25258429, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25265095, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25418413, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25425079, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25578397, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25585063, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25738381, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25745047, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25898365, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 25905031, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26058349, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26065015, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26218333, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26224999, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26378317, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26384983, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26538301, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26544967, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26698285, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26704951, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26858269, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 26864935, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27018253, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27024919, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27178237, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27184903, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27338221, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27344887, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27498205, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27504871, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27658189, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27664855, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27818173, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27824839, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27978157, A write address: 0, B  read address: 0
blk_mem_gen_v8_3_6 collision detected at time: 27984823, A write address: 0, B  read address: 0
